1:coo.31924054872803_ocr:003GREEK	V τεξ , λ \ -η ιτ ς2 ~ Α (Qui; ν j ’ κ π ᾖ ,μγι ¹ , ’ ¹ ’ζ · -‹. ιΪί ’ _ ἶ ah ἓ , \Ν I; λ σιμ-ἣῗκχ ’ἔτη /"’ " ι’ Γ. ‘F “ ηπ “‘5 PV"? Γ ἵ ἴἰέὶ ί ιν. 1 ὢ ’ ἰ , xi”) λ’ -λ ν it:ἕᾟῇν Χ ἤελξτιη ί 1’λ ί ³ ‘ak‘r ι ἱ .' , ‘ ,μ ’μῖνξῆ Ὗ μ κ τ ’ἱ 1 ‘_-, (' ξ’ ‘τ ι ,ἓ At; ξ › .ﬂ Δ rvi“ θ κκ εγ ’³ηὲἷᾷ 9‘0 τ (ἠχὼ\Z Υ ξ ἃ.. 1 , Ι. τ alii“, μ’ Γπ γ -ιςεἉ τ _“ ι :\'-., ι ’δίςεε ἲ wax, ' ἤδη λῃ \“ ⁵ · “ λᾎ λ Α’ίελ ἐμ . “ ᾖ λῇ Υ χ R719."-r κλει( η ῨῨΎῨ ξ’ ’κη π’ ιη Ι ν, ἶῗνί ν '7 κέ 174:, 77:, ν 77:: Tr, in γη 77 ’ λη, \ ,  γι 1η “ μ .I‘ ‘ ν Ψ Μζέλῗὲ πμ MHR λη “V2 η⁴ ἴ ‘t’l ‘ ιη ῖ⁴ ι ξέ³⁹ v/ μίἵι, ne, λη, ἢ ι 1 ι η ιι πρυ μένπλη-,τρίβῳ η χ , ’.ι³ ⁷. λ λ ’ ‘ ἶ( Γ ῖέῖῖῗπξῖ 1153: ru’i— ,εῖν Β 3‘ ν ’ν ﬁ“ ' “'1‘. , . η 1 ε κῇ UT.“ ΓῘ Ἴ ῖῑ τ ’⁷ ι’ ῖ ’γ r1 ξ ·’ “ii⁵ ,ἐτῖιέ > Ἴ ν Emi: “:7: iiii: η κῖκγἾῙπίι ’1 L L\Ἃ ‘_ ξ ξ , ¹ ἲ πνέκ (ᾗ ν . ἲ, η *ἣν ρ_.' ,η ‘,λ ηε Α» μηλί .. Ῐίνίηί, ,. ,λ ,, __ ﬂ Ι μ’ 1}” Ν Mf ⁷] γ πυκνὴν Γ ηρ*ῖγῖ ί ν ηῖῖκηη ri" if 7777 ἐ 7 κη· “ “‘C‘s“ θ ··¹1 ἧντ’. ~ } ἠ’νὴ ε, ἲ βίη κκκίίντ ίηκζῖκεμ .' Ἃ. η η . ἠέ ﬁ «Ἴ “Et? ’ἐ ᾖξειῖ · ἒξ Ἰ ” ητηῒ ’Δίιιὶ ὃ· ’Ἰ’· .. ἧς» εί “ E‘ ﬁ“ . “ ι ” ' ιτῗέ Ws" Ε’ῖιίηξτίξςι i;, _~ ’ δ '\ ,ν τί ξίν νγ , , ί. *ίτϋ ⁷ rm." ' ἠ η, . ⁷³⁵⁷λ ,1" η ⁵ γη “ τ λ’ ⁴ λῖν-κηρξὲἥέ ’ί ” Ἐξ, ,r' λ .. ’κ’ is, _ λςξὲ -J.',δ’ , η ι κτλ η ι’, · τ τ ς κβ( ζξέδμ 'η. ⁴ ἶ ι λ νέης β --ητ κέδν’-Ι in“; γεῆιἰί γ Α,μὶ.· ηῗ· ς-η *λ ι ζ» Ἃ ά . ⁸ ’‘1 . ;. ι ι⁴ ν ’ ⁴ ’ ν τ ” ι’ ⁷ ' ⁷ »ν ⁴’¹’η ⁷ ν η ν , “. ⁵ξ’.⁵;’ῗῖ,έ ς Ι, ":13" κ), ’ξ’ ιτ λι ⁸ _ ἐξ», 1ἐκ η , . βξἈ ~ , ε πι Ι ι ‹ -γ η . , Ὢὲηᾋκ νβ ‘5 . £3149,“ ﬁnge; ._ (τίς 1\\~»\ λι Ἃ. η Ι ἧς ἐκ ί χιε ,ἐφ’ 7 ᾧ η ν 1, , ..ιὶ \ ί, . φιν ῖ-νηἱ λ n' rm: ‘Ἴ ν . Aeli Ι fl; ὀἷ ’ί λ’ Κ δέ Δ,κ , , ,ἰξ , » ι η , . ι, κ , ἰμι~ ~ κ Δὶδ ,ψωμῷ-η,ψ Ὗ “ "’1":
1:coo.31924054872803_ocr:004GREEK	ζῖζῖζ“““”ῖ“ ἶ η,κγ μμπ γγχμγ μην 7 ἒ ‘ζξῖἶ ἶ ἶ ζξῗῖᾐ ἶίζῗζ ηηηηηγιη η τ η κ ν ἴρκμᾼ .νίμμμ γι ηΙη-ψᾉ μή ί η whλ “mw τ π . ,ﬁ“ ’ , . -ι ’ς . , ςν, .’ Ὰ-ῖ“;’“·· ἴῇρῤ Ι ‘ όίτηέῖ μ γ 7 “<7. ’ξ’ ἱπξςιθπ. ’ἶ λ ’I ⁷ ν ῖὲι ” ’ iiii“;'7‘ ' (Ἢν ἶ ά ⁴ ’ ξμζῆτένιέέκῖέέ-δ·Ι ἵ ..ιν-δ ,ξςςξῆὲμε ,ι κέαρ ζ,Α ἒ ,ι’ ·.1" κ 3 ριςῖῃ λ ,ν· ‘ ν ’ν ῖὶᾳξέιξῑὲήάίςεκ ν’ ρ ’ Ὗς,γ Δ, ' v_   . κηνλδξρρμζ ἡ, _  _.τ,ηαιέιειιως ,κν-.-.ν . ι τ θ ι τ «mg ῬΑΤΗΟιΟρυΕ ψ ΡΑΤΒΟΕΟΟΙλΕ GRAECA? TOMUS Ι.
1:coo.31924054872803_ocr:008GREEK	ψ.ίέἓθ ΤΟΥ ΕΝ ΑΓΙΟΙΣ ΠΑ¹ΓΡΟΣ ΗΜΩΝ ΚΛΗΜΕΝΤΟΣ, ΠΑΠΑ ΡΩΜΗΣ, ΤΑ ΕΥΡΙΣΚΟΜΕΝΑ ΠΑΝΤΑ.
1:coo.31924054872803_ocr:010GREEK	ΟΡΕΒΑ ΟΜΝΙΑ ιιιιιιιοτιιεοιιιῑ θιΕιιι υΝινΕΙι ΛΕ fuerit ςσνὶρρονίῖιέῗέιῖιίιξωσαιὲ ingenium πνι.
1:coo.31924054872803_ocr:012GREEK	μιν, ιν am ψιυι ωηο μηιιη lucu" ingenium qua1. _,,_,___ ,μ μι,,,,,,ι,η η ν.
1:coo.31924054872803_ocr:019GREEK	.. . ιν.. ψιιοηδηνοιιη uorn arma... mansum... οδιρρουε oui fuerint ΝᾶΖθΓίθίΑὶοιιιΕ eorum hmresismm temgenua Ρνθάηίν qua ελαδάθῖη ⁸Ρ¹Υ²ί¹⁴δ θοηευειυάίηεπδ . ι Ι , ..νυ ..νη νιν-ηυντ νυ mnam ω. υιυωιιιιωηι uua υυιηω tur-ζῖῩἜ.¹Ῠ.ἷ”ἷ›Ξῖλέξ¹ἐὲἶςῖξεΕῗἭῗίέῗίἐξῗῗἷῗηῗῖηῗῖῗῖἰὶίη ξπῗῖ rem quemdam ωοηεπι editum narrant. eumque cum ΐιηιιωηυθυυημυινυνο υῐιιυιυι σθιυυνοσνιῑιδ.υυ1ιι1 ιι qmηπιιπιὶηηιιίτὶοηι nmme: Πηίηιηιηῖηο illud canum-In ...πων-...ηπ --ν-η.-η-. ...... ...ηπ ...η . -.ᾖξῦῗαίσε δσιίρτῑιηιβισᾳξέίάθιη absolutissimum”: nn Α-ΑΙΑ nul-.— Ι.-εκ..ηιι ---3--Αἰι In μ sese... apud ip'sum legi debeat, is; Mantiniam ιδιηθη fon,” εονςυριίδῇίιηοπξιιξκςτυιξι ϐρρςςιίοῑεθξίίεει-ιθιιιιιὶοιίίοιῄέοιιιιω-ἨιᾶέίἨὶδιοιιγιηιιδμ ubi ﬁgi qnibus'EPiPIhaniUS εξδ trib/£00 ξίιιιῆλξιηῖιαίιιεσιεοαλδ-αε“ιῖηῑινιιάιάιεείε,ριέυίοenuntiaturum, ,ιεερεεξειηε ire, ("mutue 5mmcum, qui auditor ejus et inierpres fuit, hujus,Pe— ν αῙΪθσίίοθξεδ (ξςιοοιηρπιοίιριηες, δθπσθθξίαξ ξιξ3M Ι ΡΑΡΑΜ 32 ’.
1:coo.31924054872803_ocr:023GREEK	κὴ-..Ι. PBWMIA νΑιιίοιιι] Μ.
1:coo.31924054872803_ocr:024GREEK	τὴν κληροῦτκι κὼς τοὺς μακαὶ συμϐεϐληρτωύἱωιὶοιιοιιι apostolorum, et κὼς αὐτοῖς · καὶὲτι ἕνιι ’ναυλον τὸ κήι. καὶ τὴν ππράδοσιν πρὸ ὀφθαλμῶν ἔχων οὗ μό· νος ⁸ ἔτι γὰρ πολλοὶ ὑπελείποντο τότε ὑπὸ τῶν ἀποστόλων δεδιδαγμὲνοι. Ἐπὶ τούτου οὖν τοῦ Κλήμενο τοις³ στάσεωςοῦκ ὀλίγης τοῖς ἐν Κορίνθῳ γενομὲνης ἀδελφοῖς, ἐπὲστειλεν ἡ ἐν Ῥώμῃ Ἐκιιλησέα lxaνωτᾶτην γραφὴν τοῖς Κορινθίοις,εἶς εἰρήνην συμϐιϐἆζουσα αὖτοὺς , καὶ ἀνανεούσαι τὴν πίστιν αὖτῶν, καὶ ἣν νεωστὶ iub τῶν ἀποστόλων παρὰδοσιν εἰλήφει. Ἐὰν δὲ τὴν {indutiis τε καὶ αὖθεντικὴν εἴσοδον ζητῇς, ἀκούσῃ ’ Αὕτη ἡ πύλη τοῦ Κυρίου · δίκαιοι qum! εἴσελξῦσοντα· ἐν αὖτῇ. Πολλῶν τοίνυν ἀνεῳγμένων intra πυλῶν ἐν δικιιοσῦνῃ, αὕτη ἦν ἐν Χριστῷ. Αὖτὶκι ὁ Κλήμης ἒν τῇ πρὸς Κορινθίους ἐπιστολῇ, ’ κιτὰ λέξιν φησὶ, τὰς διαφορὰς ὶκτιθέμενος τῶν satis his-i τὴν Ἐκκλησίαν δοκίμων ⁸ δυνατός τις γνῶσιν ἐξειπεῖν ⁸ κρίσει λόγων ἤτω γρργὸς ἐν ἔργοᾎς. Eadem repetit Nai μὴν ὲν τῇ πρὸς Κορινθίους ἐπιστολῇ ὸ ἀπόστολος Κλήμης, καὶ αὐτὸς ἡμῖν τύπον τινὰ τοῦ γνωCori] ηχος ὑπογράφω, 3,1“: τίς γᾴρ παρεπιδημήσας Ξιᾶ έέέὲτῖἑῐι.””’”ξ“” ” __ η _'__ 423,2 Ἀλλὰ κᾶν τῇ πρὸς Κορινθίους Ῥωμαίων ἐπιστολῇ ⁸ Ὢκιινὸς ἀπέραντος ἀνθρώποις γᾴγραπτειι, καὶ οἱ μετ’ thios αὑτὸν κόσμοι. Τωοιξτῳ γὰρ μᾶλλον ταπεινοφρονεῖν desim, ὅσῳ δοκοῖ μᾶλλον μφίζων εἶναι’ Ιίλήμῃς, ἕν τῇ πρὸς maiaο ι, “re ’γυο ΙΙΙ. σρμιάω,εο,,. Φησῖ δὲ ὁ Κλγξμης · ’κεανὸς ὰπὲρατος ἀνθρώποις, καὶ οἱ μετ’ αὗτὸν κόσμοι τοσαύταις διαταγαῖς του hc Δεσπότου διοικοῦνται, Μεμαρτύρηται δὲκαὶ παρὰ τοῖς ἔθνεσιν, ὅτι πολλοί τινες λοιμικῶν ὶνσκηψάντων νοσημάτων ἑαυτοὺς m σφάνια ὑπὲρ τοῦ κοινοῦ παραδεδώκασι · καὶ παραδεχεται ταῦθ’ οὕτως γεγοδίναι οὒκ ἀλόγως πιστεύσας ταῖς ἱστορίαις ὁ πιστὸς Κλήμης, ὑπὸ Παύλου μαρτυρούμενος, λίγοντος ⁸ Μετᾶ Κλήμεντος, κ.
1:coo.31924054872803_ocr:025GREEK	τ. λ, ιγ. Τούτου δὴ οὖν τοῦ Κλήμεντος ὁμολογουμινη μία ἑπιστολή clpeται³ μεγάλη τε καὶ θαυμασία, ἢν ὡς ἀπὸ τῆς Ῥωμαίων Ἐκκὸησίας τῇ Κορινθίων διετυπώσατο, στάσεως τηνικάδε κατὰ την Κόρινθον γενομένης. Ταύτην δὲ καὶ ἰν πλείσταις Ἐκκλησὶαις ἐπί τοὺ κοί.νοῦ δεδημοσιευμένην πάλαι τε καὶ καθ’ ἡμᾶς αὖτοὺς ἔγνωμεν, Καὶ ὅτι γε κατὰ τὸν δηλούμενον, τὰ τῆς Κορινθίων κεκίνητο στάσεως, ἀξιόχρεως μάρτυς ὃ Ἠγήσιππος, Lege Τοῦ Κλήμεντος ἰν τῇ ἀνωμολογημὶνη παρὰ πᾶσιν, ἦν ὲκ προσώπου τῆς Ῥωμαίων Ἐκχλησίας Κορινθίων διετυπώσατο. Ἐν ᾗ τῆς πρὸς Ἐϐραίους πολλᾶ νοήματα παραθεὶς, ἤδη Si καὶ αὐτολεξει ῥητοῖς τισιν ιε αὐτῆς χρησάμενος, capiστατα παρίστησιν ὅτι μὴ νὶον ὑπάρχει το σύγγραμμα, ’Ὅθεν εἰκότως ἔδοξεν, αὐτὸ τοῖς λοιποῖς ἐγκαταλεχθῆναι γράμμασι τοῦ Ἀποστάλου, Ἑϐραίοις γὰρδιὰ τῆς πατρίου γϐὠττης ἐγγράφως ὡμιληκότος τοῦ Παύλου, οἱ μὲν τὸν εὖαγγελιστήν Λουκᾶν, οἱ δὲ τὸν Κλήμεντα τοῦτον αὒτὸν,έρμηνεῦσαι λὶγουσι τὴν γραφήν. ’“ο⁷ καὶ μᾶλλον εἴη ἃν ἀληθὲτῖ τῷ τὸν ὅμοιον τῆς φράσεως χαρα’ ‘ κτῆρα τὴν τι τοῦ Κλήμεντος επισστολὴν, καὶ τὴν πρὸς Ἐϐραίους ἀποσώζειν ⁸ καὶ τῷ μὴ esset» τὰ ἐν ἑκατέροις τοῖς συγγράμμασι νοήματα καθεστάναι.
1:coo.31924054872803_ocr:026GREEK	Ἰστὲον δὲ ὡς καὶ δευτέρα τις εἶναι λέγεται τοῦ Κλήμεντος ἐπιστολή · οὗ μὲν ἔθ’ ὁμοίιος τῇ προτέρᾳ καὶ ταύτην γνώριμον ἐπιστάμεθα ’ ὅτι μηδὲ τοὺς ἁρχαίους αὐτῇ κεχρημένους ἴσμεν. Ει infra: Ἠ μὲν οὖν τοῦ Κλήμεντος ὁμολοἘν αὖτῇ δὲ ταύτῃ καὶ τῆς Κλήο μεντος πρὸς Κορινθίους μέμνηται ἐπιστολῆς, δηλῶν ἀνέκαθεν ἐξ ἆργαίου ἔθους ἰπὶ τῆς Ἐκκλησίας τὴν ἀνάγνωσιν αὐτῆς ποιεῖσθαι. Λέγει γοῦν ο Τὴν σάμερον οὗν Κυριακῆν ἁγίαν ἡμέραν διηγάγομεν, ὲν ᾗ ἀνεγνώκαμεν ὑμῶν τὴν ἐπιστολήν ⁸ ἢν ἕξομεν ἀεί ποτε ἀναγινώσκοντες νουθετεῖσθαι , καὶ τὴν προτέραν ἡμῖν διὰ Κλήέ μεντος γραφεῖσαν. Κέχρηται δ’ l ὰπὸ τῶν ἀντιλεγομένων Γραφῶν μαρτυρίαις · τῆς τε λεγομένης Σολομῶντος Σοφίας, καὶ τῆς Ἰησοῦ : πρὸς Ἐϐραίους ε Βαρνάϐα, καὶ ν. ’ᾝδει Θεὸς τῶν ἀνθρώπιον τὴν ἀπιστίαν, καὶ ὅρινεον εἷς τοῦτο κατειργάσατο, φοίνικι οὕτω καλούμενον. τοῦτο, ὣς γράφει Κλήμης, καὶ ἱστοροῦσι πλείονες, μονογενὲς ὑπάρχον, κατὰ τὴν Αἰγυπτίων χώραν ὲν περιόδοις πεντακοσίων ἐτῶν ἐρχόμενον, δείκνυσι τὴν ἀνάστασιν ⁸ οὐκ ἓν ἐρήμοις τόποις, ’τίνα μὴ ἀγνοηθῆ τὸ μυστήριον γινόμενον, ἀλλ’ ἐν φανερᾷ πόλει παραγινόμενον, ’ἵνα ψηλαφηθῇ τὸ ἀπιστούμενον. Σηκὸν γὰρ ἑαυτῷ ποιῆσαν ἐκ λιϐάνου καὶ σμύρνης, καὶ Λοιπῶν ᾶρωμάτων, καὶ ἓν συμπληρώσει τῶν ἐτῶν εἷς τοῦτον εἰσελθὸν, τελευτᾷ φανερῶς καὶ σήπεται γ’ εἶτα ἐκ τῆς σαπείσης σαρκὸς τοῦ τελευτήσαντος, σκώληξ τις γεννᾶται ’ καὶ οὗτος αὐξηθεὶς, εἷς ὄρνεον σας ὃ προειρημένος φοῖνιξ, καὶ τέλειος οἷος ἦν δΛΙ πρότερος, ponii γενόμενος, ἀνίπταται τοιοῦτος ⁷είς Ρ ἀέρα, ἆτος.
1:coo.31924054872803_ocr:027GREEK	καὶ έτετνελευτήκει σαφεστάτην νεκρῶν ft ἀνάστασιν ἂνθρώποις ἕπιδείξας, ⁷ ⁷ rt Λέγει γὰρ έν μιᾷ τῶν ιπιστολῶν αὐτοῦ ⁶ Ἀναχωρῶ, ἄπειμι, ἐνσταθήτω ὁ λαὸς τοῦ Θεοῦ ' τισὶ τοῦτο Γ συμϐουλεῦων ⁸ εὕρομεν γὰρ ’έν τισιν ὑπομνηματισli μοῐς τοῦτο malum». ’ ⁷ ’ 1 b Αὖτὸς Κλήμης αὐτοὺς κατὰ πάντα ἐλέγχει ἀφ’ ὧν ἔγραψεν ἓπιστολὼν ἕγκυκλίων, τὼν έν ἁγιαις 1³η Ἐκκλησίαις ἀναγινωσκομένων, ὅτι ἄλλον ἔχει χοιραΒ p κτῆρα ἡ ἑαυτοῦ πίστις καὶ. ὁ λόγος, παρὰ cca-{31:0 τούτων εἰς ὄνομα αὐτοῦ ἐν ταῖς Περιόδοις νενοθευθ( μένα ⁶ αὐτὸς γὰρ παρθενίαν διδάσκει, καὶ αὗτοὶ οὗ Ir δέχονται ' αὐτὸς γὰρ ἐγκωμιάζει Ἠλίαν, καὶ Δαέἣδ, et καὶ Σαμψὼν, καὶ πάντας τοὺς προφήτας, οὒς οὗτοι S βδιλύττονται, τι Κλήμης, περὶ οὖ Παῦλος ὁ Ἀπόστολος πρὸς Φιλιππησίους γράφων, λέγει’ Μετὰ καὶ Κλήμεντος, St κτλ., τέταρτος μετὰ Πέτρον Ῥώμης ὶπίσκοπος · δεύοι τέρος γὰρ Δῖνος ἐγένετο, τρίτος Ἀνὲγιιλητος, εί καὶ it πολλοὶ τῶν Ῥωμαίων ὁπολαμϐάνουσι, δεύτερον μετὰ si τὸν ἀπόστολον Πέτρον γεγενῆσθαι Κλήμεντά. ἾΕγραC ta ψεν ἑκ προσώπου τῆς Ἐκκλησίας Ῥώμης πρὸς τὴν 3] ὶν Κορίνθῳ Ἐκκλησίαν επιστολὴν πάνυ θαυμαστὴν, ἥτις ἐν φανεροῖς τόποις δημοσίᾳ ἀναγινώσκεται, τῷ χαρακτῆρι τῆς πρὸς Ἐϐραίους Ἐπιστολῆς Παύλου συνᾴδουσα, οὐ μόνον νοήμασιν, ἀλλὰ καὶ λόγοις. Καὶ ἁπλῶς μεγίστη ἐστὶν ἐν ἑκάτερᾳ ὁμοίωσις. Φέρεται καὶ ἑτέρα ἐξ ὀνόματος αὑτοῦ εἶναι ἐπιστολὴ, ἥτις παρὰ πάντων ἀποδοκιμάζεται. Καὶ διάλογος Πέτρου καὶ Ἀπίωνος μακρῳ λὸγῳ συνταγεῖσα, ἥντινα Εὔσέόιος εὐθύνει έν τῷ τρίτῳ τῆς Ἐκκλησιαστικῆς ἱστορίας τεύχει. Τελευτᾷ τῷ τρίτῳ ἐνιαὺτῷ Τραϊανοῦ, καὶ τὴν τούτου μνήμην ἄχρι τήμερον ἰν τῇ Ῥώμῃ οἰκοδομηθεῖσα ἐκκλησία φυλάττει, 41 ς ΡΒῦίΕΜῙΑ ΓΔΒῙΟΒῙῘΜ ’ Ei τῆς παρούσης καταστάσεως τὸ τέλος ἐστὶν ἠ διὰ τοῦ πυρὸς κρίσις τῶν ἀσεϐῶν, καθά φασιν αἱ Γραφαὶ προφητῶν τε καὶ ἀποστόλων, ἔτι δὲ καὶ τῆς Σιϐύλλης, καθώς φησιν ὁ μακάριος Κλήμης ἐν τῇ πρὸς Κορινθίως ἐπιστολῇ.
