32:coo.31924054869296_ocr:002GREEK	Si: ί» ἠ — ιγ ’καί “ · ἐξ τν λ ξίν ‘ τε ,-ε _ . ⁴ , · . ’' . κε λ ν’ _ᾑξςέέῖρ ς μηθ’ ἐς 3 isi? ι τIr λ ς η 1 (η λη.. ι θ’θ’,ι εει. πεί ξ   ., νά{Ir π ’ ν. ς ι ς ,ι ρέα»Δ , ἢ τί ἰδέ . κήξ ὓ θ λ , . ·θη τί ηςς xxxix: ιγ ’ 5.?» ’ῖνῖμ ῖὲςέιξς ί , ’ "Egi?" λ ﬁt; ιὲττέίίτεὲθέέ~ ' χ 9,ν ἐμμήιξ .. ΙΙΙλ ’ξίξκιξρ ῗτ τι .,⁷ ΐεξὲε ἱ α ’ν ⁷ ί“ ς ~ ,τευ ἦ θέλῃ τις-ζ η ,ο ζ εμ ί.ῖὲκ ι ί υ ,ζει νςπῦ “λ ς. fi" ι Ἃ» ξέν’ “an λοιsi»; ,ι ντί· ·’ ς-ζγνῇηἱέδ·ν” υ ἐμέ» ο τ’,ν’ ὁ ι ιμ’ ζέω. ⁴⁷⁸ξιμςέ η ’Ἀρῇνῗκδιδ βλΔ ⁹“ ’ 1 ⁴. ‘3 τῖ’ δ. ιδ νἾπμ ηπ, ﬂ?‘-,η-ς ⁵ ψ.γενέ -, ί fw: ετξ ﬁ???» ἶ .
32:coo.31924054869296_ocr:003GREEK	; Ν] ῒῄῒῖ . ·. λ η ειη η ι χλί . ’ ,ξ vi”; ~ δέχ ’ἓν] ³ : ’γ ιδ π ²,5.; 1. Γ I‘ {cu Χ. 1 η Υ _~ .  π 2" ¹ ἓῖ 3 Κ Υ Χ A‘’ ’τ ’ ’ Ἢψίω ‘7 ,ἢ ) χῖλ., · ﬁt Χ ν . ῖ \I λ _ιλ ί, " Χ ’ ”’ .μ’ η .V ‘ λ ι“⁴“ · ²⁷ · δι Ni} '\‘\§\ ΣΤ \ μέ ,εἰ η ψ ’ ;
32:coo.31924054869296_ocr:004GREEK	εἶ Ὑτίλῗχυῄλί, ‘ μί  ην ﬁ.“ Γ ,ι χ , έςιςεεκ _ ·, κ , Α Ν λ κἸέκδ ’Ϋ ηρ ί if ⁸ ιλ  Ἐπί.ί · ’ “4: ς ’ , ί’έ λέξῗί , λλίέκν qg/ ‘ ς , μεﬂ μί λ κέλἡ f η Α κη ς χ, ⁷ εκ ίυί ν Γπ, unum 21mm":
32:coo.31924054869296_ocr:008GREEK	ιηηιωι νει-ιτ. mmmmm λιτητητηω ςῐηῐῐίι ιπυιιθιευκ, οΑΝοΝιεωὶ, ΒῘΞΟΙΡΜΝΛῇΕ, HISTORICUM. ET CUNCTA ALIA SINE υὲὲὲβξςερτιοκε ξ SED PR1!agaighm QUODLIBET τηεμ εειιιρεειιηίξ ὺῖὦῖἆτῦιτυ αοΝειηέιΑτὺιι ς Αιτεκο ΞΟΗΙΡΤΟΒΑΞ, CETERISQUE νοὶίΝῌΞυένὶτΑἷῐῐὲγλΝἰἚΡοῘῊΞΝῺΑ, SI PERPENDA αέἒέἓὲἓιιιτιε, ικτεαηιτΔθήῖπκέτυεξῗ ἓειᾶῖέεῆὸᾞοκιῑεετιοκῐέ, OPERUM nacusonuu τυιι VARIETAS, τυιιwn ητιιυῑατῐο. UNA. HETHODIGA ιτ ΕΗΒΟΝΟιιοῦῐαΑ, Βιιιιιοτιιιζσίι] σιιιζιὶι υΝινΕιιδιΕ, ψ ίὲἓδ ΤΟΥ ΕΝ ΑΓΙΟΙΣ ΠΑΤΡΟΣ ΗΜΩΝ ΒΑΣΙΛΕΙΟΥ, ε ΔΡΧΙΕΠΙΣΚΟΙῙΟΥ ΚΑΙΣΑΡΕΙΛΣ ΚΔΙΙῙῙΑΔΟΚΙΛΣ, ΤΑ ΕΥΡΙΣΚΟΜΕΝ Α ΠΑΝΤΑ .
32:coo.31924054869296_ocr:010GREEK	δς Ρ. Ν. BA οηιιλ ετ ετιῑηιο BIBLIOTIIECE οιιζιιι υΝινΕιιειΕ , ψ .,,,.,,, ην, ιη... mum“. ,ιη mm. . 1 εἶθ τ--ν-*ηφοῇνη--ο
32:coo.31924054869296_ocr:011GREEK	NAτ--ν-*ηφοῇνη--ο dicuntur:
32:coo.31924054869296_ocr:012GREEK	Ἐὰν δέ τις λέγῃ ἐξ ἐτέρας οὐσίας ἦ ὑποστάσεως τὸν Υἰόν ἀναθεματίξει ἠ καθολικὴ καὶ Deinde additur:
32:coo.31924054869296_ocr:013GREEK	Οὑ γὰρ ταυτὸν εἶπον ἐκεῖ οὐσίαν καὶ ὑπόστασιν. Εἰ γὰρ μίαν καὶ τὴν αὐτὴν ἐδήλουν ἔννοιαν αἱ φωναὶ, τίς χρεία ἦν ἑκατέρων; Ἀλλὰ δῆλον ὅτι, ὡς τῶν μὲν ἀρνουμένων τό ἐκ τῆς οὐσίας εἶναι τοῦ Πατρός, τῶν δὲ λεγόντων, οὔτε ἐκ τῆς οὑσὶας, ἀλλ’ ἐξ ἄλλης τινὸς ὑποστάσεως, οὑτως ἀμφότερα, ὡς ἀλλότρια τοῦ ἐκκλησιαστικοῦ φρονήματος, ἀπηγόρευσαν · ἐπεὶ ὀπουγε τὸ ἑαυτῶν ἐδήλουν φρόνημα, εἷπον ἐκ τῆς οὐσίας τοῦ Πατρός τόν Υἱόν’ οὑιιέτι προσθέντες καὶ τὸ, εκ τῆς angelis, Εἰς τόν ἀπαρτίσμόν καὶ συμπλήρωσιν τῆς ὑποdicitur: Πᾶσα ὑπόστασις δικαίων. . . ἡγίασται. In libro transit, ὁποία τῶν τεχνῶν ἡ ὑπόστασις ἐκ τῶν διδασκόντων ὅλη τοῖς μαθητευομένοις ἓγγινομένη. ὄντι αὑτῷ κατά τὴν φύσιν καὶ τὴν ὑπόστασιν, ὑπάρχει τό μὴ ἀρχὴν ἔχειν μηδέ ἐξίστασθαι, μηδὲ περατοΰσθαι, ἀλλὰ ὅλον τό εἶναι περιλαμϐάνειν, λείπεται προσγιλοσοφεῖν cat. 6, n. 5 : Ἀκατάληπτός ἐστιν ἡ ὑπόστασις ἡ θεία · θεότης τῆς αὐτῆς δυνάμεως , τῆς αὐτῆς ὑποστάολ δὲ καὶ παρὰ τοῖς Ἰταλοῖς ὁμοίως, ἀλλ’ οὐ δυναμένοις εἶναι τὰς ὑποστάσεις, ὁμολογεῖν, necesse esse tres tur:
32:coo.31924054869296_ocr:014GREEK	Ὲὰν γὰρ εἴπῃς τὸ ὁμοούσιον, ἔλυσας Σαϐελλίου τὶν δύναμιν ὅπου γὰρ ὁμοούσιον, μιᾶς ὑποστάσεώς ως οὐσίας, καὶ τῶν τριῶν ὑποστάσεων λεγομένων μὲν ὑφ’ ἡμῶν εὐσεϐεῖ, ς· τὸ μὲν γὰρ τὴν φύσιν δηλοῖ τῆς irin-5:376 δέ τὰς τῶν τριῶν ἰδιότητας, νοουμένων στάσει πράγματα.
32:coo.31924054869296_ocr:015GREEK	τρεῖς εἶναι τὰς ὑποστάσεις, μεμερισμένας εἶναι λέγουσι τρεῖς εἰσι κᾶν μή θέλωσιν· ἢ τὴν Θείαν Τριάὸα παντελῶς λέγοντα³ τὰς τρεῖς ὑποστάσεις τελείας δεικνύντα ἐστίν· ἐνσάρκου ἐπιφανείας τοῦ Θεοῦ Λόγου (p. 878) : Μία ’γὰρ ἡ Θεότης καὶ εἷς Θεὸς ἐν τρισὶν ὑποστάσεσιν· Una enim λέγοιμι καὶ πρὸς διαιροῦντας καὶ κατατέμνοντας καὶ ἀναιροῦντας τό σεμνότατον κήρυγμα τῆς Ἐκκλησίας τοῦ Θεοῦ καὶ μοναρχίαν εἰς τρεῖς δυνάμεις τινὰς καὶ μεμερισμένας ὑποστασεις καὶ Θεότητας τρεῖς· Jam vero, inquit, ἐστι τό· Ἐγὼ καὶ ό Πατὴρ ἓν ἐσμεν· ὅπερ φησὶν ό Κύριος, οὐ Πατέρα ἑαυτὸν ἀναγορεύων, οὐδὲ τὰς τῇ ὑποστάσει δύο φύσεις μίαν εἶναι σαφηνίζων, etc. Cujusmodi τρεῖς ὑποστάσεις, inquit in Expos.
32:coo.31924054869296_ocr:016GREEK	ﬁd. n. 2, μεμε· Ἀρξιος ἐξ οὐκ ὄντων ιῖναι λέγων τὸν γιον, καὶ ἧν ποτε, ὅτε οὐχ ἦν’ μαίνεται δὲ καὶ Σαϐἐλλιος λέγων τον Πατέρα εἶναι Υἱὸν, καὶ ἔμπαλιν τον Υἰὸν εἶναι Πατέρα, ὑποστάσει μὲν ἓν, ὀνόματι δὲ δύο· Quo circa Περὶ δὲ τοῦ, ὅτι ὑπόστασις καὶ οὐσία οὐ ταυτὸν ἐστι,καὶ μενον ὑπὸ τοῦ μακαρίον Πέτρου, ὀρθὸν, καὶ εἰλικρινῆ ἕεοτητα τοῦ τοῦ Μονογενοῦς κηρύσσει, οὐ τὴν ὑπόστασίν χωρίζων τοῦ Θεοῦ Λόγον ἀπὸ τοῦ ἐκ Μαρίας τὴν Δαμάσου, ὦ δειξον ἡμῖν σαφῶς τὴν τῶν δογμάτων συγγένειαν. Ἐκεῖνος γὰρ μίαν τῆς Τριάδος οὐσίαν ὁμολογῶν, τὰς τρεῖς ὑποστάσεις διαρρήδην arripui-rev σὺ δὲ ἄντικρυς τῶν ὑποστάσεων ἀναιρεῖς τὴν Τριάδα. St Damasi ponit :
