49:mdp.39015028539461_ocr:003GREEK	Α ΔΙ ρ
49:mdp.39015028539461_ocr:005GREEK	NAΔΙ ρ ιιι-.
49:mdp.39015028539461_ocr:010GREEK	..αύ*ψ PA ΤιίοιὸωίΕ θηιέἷῑίΕ TOMUS ἕω. \V λλ ,ςιΕσΠιυΜ Υ.
49:mdp.39015028539461_ocr:012GREEK	ANNUS 5-07. ΤΟΥ EN ΑΓΙΟΙΣ ΠΑΤΡοΣ ΗΜΩΝ ΙΩΑΝΝΥ ΔΡΧΙΕΠΙΣΚΟΠΟΥ ΚΩΝΣΤΑΝΤΙΝΟΥΠΟΛΕΩΣ, ΤΟΥ ΧΡΥΣΟΣΤΟΜΟΥ, ΤΑ ΕΥΡΙΣΚΟΜΕΝΑ ΠΑΝΤΑ. ε δεμΝηῖῡΑΝΝΙ NOTIS, νΑιιιιε LECTIONIBUS ιιιυςτκΑτλς ΝονΑ ΒΑΝΕῙἺ ῡοετοιὶιε νιτΑ, Αυιιεκυιειιςυε, οΝοιιλετιεο ΕΤ ΟΟΡΙΟ· EDITIO ΝογιςςιΜΑ. IIS OMNIBUS Ιιιυεῖζιῑ ιιιιιιιθτιιιςωιζ (ιιΕιιι UNIVERSJE, εινε *ψ ἩΟΙΙέϐΙξΗΝΟ VERO IN'I‘HA ΜΟΕΝΙᾹ ΡᾹΙὶΙὸΙΝᾹ, ΜΗ εΔῖσυιυΜ γ.
49:mdp.39015028539461_ocr:013GREEK	ANNUS tio-7. ψ ψ .
49:mdp.39015028539461_ocr:014GREEK	.-ι-κο...-.κ--οσαοώ-ὁοο--ῐ ,ι--έὶσκὶάῦτῗ Έϊωῐαῒίυ ίθίθιεζῖὒόῖδθὶθ .__.. -..Ἤρ-*Μ .... ...μ -. -_.._....... ι n ΜΛ.
49:mdp.39015028539461_ocr:015GREEK	.on Ἡζηηιιεηυι ann-uuln si uerbera inﬂige—Te θρονιεαρεηηενξείεεεεε ἱρείαε.
49:mdp.39015028539461_ocr:016GREEK	ίαετ’ςῖη altera Ρενοίιιθι οοηίθνθ οε δῖἐίνδο νενῙξοἯίξῖδὲἓῗὲηίῗέἰ έξῗὲὶξίέηὲἒῖξὲἷ.Ἢέῗὶἓιὲῗῖίῗ,[Ἦυίάξὶτξὶἓῗίξν δδέίίέἱ Είεηίηι ,φαίηέαηι δίεπ’» imi! ομηδρείοηὲυε» vetem ορηξοιςιηὲειε σίδωῖξίαίὲηιτρυὶηιει porro se. me Μ
49:mdp.39015028539461_ocr:019GREEK	NAΜ 15 ιιοΜιιιίΕ ΑΒ POPUL Μ ΤΟΥ ΕΝ ΑΓΙΟΙΣ ΠΑΤΡΟΣ ΗΜΩΝ ΙΩΑΝΝΟΥ ΑΡΧΙΕΠΙΣΚΟΠΟΥ ΚΩΝΣΤΔΝΤῙΝΟΥΠΟΛΕΩΣ ΤΟΥ ΧΡΥΣΟΣΤΟΜΟΥ ΤΑ ΣΩΖΟΜΕΝΑ ΠΑΝΤΑ.
49:mdp.39015028539461_ocr:020GREEK	ΕΙΣ ΤΟΥΣ. ΑΝΔΡΙΑΝΤΑΣ EN ΑΝΤΙΟΧΕΙᾼ ΑΕΧΘΕΙΣΑΙ. ὀμιιία λεχθεζσιξ. ἐν untimely, ςξρςδσόυτιξρρη αρτοῦ ,ὑπάρχοντοςι τῇ παξλαιᾷ seem/Inda, εις τὸ ῥητὸν τοῦ Ἀποστόλου, Otqu ὀλίγῳ χρῶ διὰ τὸν στόμαχόν σου καὶ τὰς πυκνάς σου ἀσθεύείαξςί. [l α’. Ἠκούσατε τῆς ἁποστολικῆς φωνῆς, τῆς σάλπιγγὰρ ὡς σάλπιγξ φοσε ρὺν ἢχοῦσα καὶ πολεμικὸν, καταπλήτ. τος τῆς ὲκ τῶν οὐρανῶν, τῆς λύρας τῆς πνευματικῆς ; Καὶ τει τε τοὺς ὲχο ροὺς, καὶ διανίστησι δ τῶν οἰκείων τὰ. πεπτωον καὶ ταῖς τῶν-ἁμαρτωλῶν εὐημερίᾳις, καὶ κατὰ τῶν 1'0):Χρυσρστὸιιου ὁμιλία λεχθεῖσα ἐν Ἀντιρχείᾳ πρεςϐυτέρου μώντωγ βλασφημεῖν. Εἰ hbe titulo verba ἐν τῇ παλαιᾷ balnei;αντου ὕπᾶρχοντος ἐν τῇ παλαιᾷ ἐκκλησιᾳ εἷς τὸ ρητὸν τὸ sumpmmus.” γ 7 _ ξ ν _ ί _ μ . αντου om χοντος εν τῃ παλαιᾷ εκκλησιᾳ εις το ρητον το διιῐηὶζςιωιιε. ο ..eximias”: τί οῖγῳ ὀλίγῳ λα)έῦ ⁸ξά τὸν.σῑ⁶μειχ⁶2 σουν ἐ καί Ξά ’3η 9390(19; refsﬁi‘itstﬁtsais ἐκθρφὲδςι διανίστησι δα· ἑξῆς, καὶ πρὸς ’έοὺξ σχαξιόαλὶζομένους ἐπὶ ἑαῖῖ δυσημὲρίαιη κότα φρονήματα, καί⁹ πολλοῦ θάρσους ἐμπλήσασα ἀκαταγωνίστους ποιεῖ τῷ διαϐόλῳ τούς προσέχοντας* καὶ ὡς λύρα πάλιν μετὰ πολλῆς τῆς ψυχαγωγίας τέρπουσα, κοιμίζει τῶν ἀτόπων λογισμῶν τὰ πάθη, καὶ πολλὴν ἡμῖν μεθ’ ἡδονῆς ἐνίησι τὴν ὠφέλειαν.
49:mdp.39015028539461_ocr:021GREEK	Ἠκούσατε τοίνυν σήμερον περὶ πολλῶν καὶ ἀναγκαίων πραγμάτων διαλεγομένου τῷ Τιμοθέῳ; Καὶ γάρ περὶ χειροτονιῶν πρὸς αὐτὸν ἐπέστελλεν ι εἰπών · Χεῖρας ταχέως μηδενί ἐπι· τίθει, μηδέ κοινώνει ἁμαρτίαις ἀλλοτρίαις καὶ τὸν ἀφόρητον τῆς τοιαύτης παρανομίας παρέστησε κίνδυνον. δείξας ὅτι τῶν ἐτέροις πεπλημμελημένων ἕτεροι τὴν τιμωρίαν ὑποστήσονται μετ’ αὐτῶν ἐκείνων, ὅτι τὴν ἐξου· σίαν διὰ b τῆς χειροτονίας τῇ πονηρίᾳ παρέχονται. Εἶτα πάλιν φησίν Οἶνῳ ὀλίγῳ [2] χρῶδιὰ τὸν στόμαχόν σου καί τὰς πυκνάς σου ἀσθενείας. Καὶ περὶτῆς τῶν οἱκετῶν ὑποταγῆς, καὶ περὶ τῆς τῶν φιλαργύρων μανίας, καὶ περὶ τῆς τῶν πλουτούντων ἀπονοίας, καὶ περὶ πολλῶν ἡμῖν ἐτέρων διελέχθη τήμερον. Ἐπεὶ¹ οὖν ἅπαντα ἐπελθεῖν ἀδύνατον, τί βούλεσθε τῶν εἰρημένων προχειρισάμενοι πρὸς τὴν ὑμετέραν ἀγάπην εἷ’πωμενς Καθάπερ γάρ ἐν λειμῶνι πολλά καὶ ποικίλα ὁρῶ τῆς ἀναγνώσεως τὰ ἄνθη, καὶ πολλὴν μὲν τὴν ῥοδωνιὰν, πολλά δὲ τά fa, καὶ οὐκ ἐλάττω τὰ κρίνα, ἀλλὰ ποικίλον πανταχοῦ καὶ δαψιλῆ τοῦ πνεύματος διεσπαρμένον τὸν καρπὸν, καὶ πολλὴν τὴν εὐωδίαν · μᾶλλον δὲ οὐχὶ λειμὼν μόνον, ἀλλὰ καὶ παράδεισός ἐστι τῶν θείων Γραφῶν ή ἀνάγνωσις ⁸ οὐ γὰο εὐωδίαν ψιλὴν ἔχει ταῦτα τά ἀνθη ο μόνον, ἀλλὰκαὶ καρπὸν ψυχὴν τρέφειν δυνάμενον. Τί τοίνυν βούλεσθε τῶν εἰρημένων εἰς μέσον ἀγάγωμεν τήμερον; βούλεσθε ὃ δον κεῖ πάντων εὐτελέστερον εἶναι, καὶ τοῖς τυχοῦσιν εὐσύνοπτον, τοῦτο μεταχειρισιέψεθα νῦν; Ἔμοιγε δοκεῖ, καὶ ὑμῖν εῦ οἷδ’ ὅτι συνδόξει. Τί ποτ’ οῦν-ἐστι τὸ τῶν ἀλλων εὐκολώτερον; τί δὲ ἕτερον, ἀλλ’ ἢ ὃ καὶ τῷ τυχόντι δοκεῖ ῥᾴδιον εἶναι, xu} ⁸εὐσύνοπτον εἰπεῖνξ Ποῖον ’δὴ τοῦτο ;_ Οἷνφ ὀλίγῳ χ,ρῶ διὰ τὸν στόμαχόν σου καὶ τὰςί πυκνάς σου-ἀσθενείας. Φέρε οὖν πᾶσαν τὴν διάλεξιν εἰς · ταύτην τὴν ῥῆσιν καταναλώσωμεν. Ποιοῦμεν δὲ. τοῦτο οὐ φιλοτιμίας ἕνεκεν, οὐδέ τῆς ἐν τῷ λέγειν δυνάμεως παρασχεῖν ἐπίδειξιν νά σπουδάξοντες gos γὰρ. ἡμέτερα τά λεγόμενα, ἀλλ’ ἅπερ ἂν ήντοῦ Πνεύ ματος ἐ μπνεύ σῃ χάρις), ἀλλ’ ίνα τούς ο ῥᾳθυμοτέρως τῶν ἀκροατῶν διεγείρωμεν, καὶ πείσωμεν πόσος ’στῶῦ ιτραφσῖζδ, θησαυρὸςζ-καὶ ,ὡς οὐκ ἀσφαλές τὸ παρατρέε χειν οὐδὲ ἀκίνδυνον. γὰρ ή ψιλὴ ῤ-ἧσιςν αὕτη κξπὶ σύνοπτος, καὶ μηδὲν ἔχειν ἀναγκαῖον δοκοῦσα τοῖς πολλοῖς, φανείη πολλοῦ πλούτου παρέχουσα προφάσεις ἡμῖν καὶ. ἀφορμὰς, φιλοσοφίας τῆς ἀνωτάτω, πολλῷ μᾶλλον ἐκεῖνα, τά καὶ αὐτόθεν τὴν οἰκείαν εὐπορίαν ἐπιδεικνύμεγα, μυρίωνι ἐμπλησει θησαυρῶν τοὺς προσέχοντας. Μὴ τοίνυν μηδέ τά νομιζόμενα εῖναι ψιλά Γράφῶν μᾳτᾳ παρατρέχωμεν ’.τῆςῃγάρ ἀπὸ τοῦ Πνεύματος χάρίτός ἐστι καὶταῦτα⁸ Πνεύματος δὲ χάρις οὐδέποτέέστι μικράῇκαι εὐτελὴς, ἀλλά μεγάλη καί θαυμασία καὶ τῆς ’ξοῦ ξεδωκότοξ ἀξία μεγαλλοδῳρίαςί . Μὴ τοίνυν παρέργως ἀκούσωμεν, ἐπεὶ καὶ⁴ οἰ τὴν μεταλλικὴν ἕψοντες ἐπειδὰν εἰς τὸ χωνευτήριον αὐτὴν ἐμϐάλωσιν, 06.11.1231;μάζας τοῦ χρυσοῦ μόνον ἀναιροῦνται, ἀλλά καὶτὰ μικρά ψήγματα μετά πολλῆς συλλέγουσι τῆς ἀκριϐείας. ’Ἐπεὶ ςξετίιῇοιᾳιιὶάδιη ῳεε. ἐπέστειλεν, Morel. el alii ἐπέστελλεν) b Διά ἁοεεί in duobus πιεεξ fpuqmss. ἔχει τά ἄνθη. (ἐ ἓξὲξ-ξρενέ ἐπίδειξιν. Morel. et alii ἀπόδειξιν. ε ι βίονξῗδοῆρείῐξιυὲ e οδε ξίίιὶοζ Boé't:uT£,°Bi3 καὶ τινα τρύς.“1ἓυιτ; ι 1—lnffa ⁸διινξίίίξί ὧδῖἰῖίιξηρῖιζὲδδίείίίῐῖ ῗιῖτξειτέἐπὲξῗεῇίρὲλεἱγξὲίφξειξρεάςν ξι. είς SA?"ίη πηπειηuιιοευ. unum" εις το χωνευτη ιον αὐτὴν ἐμῦάλωσιν, deslinl in ο ο ο
