65:hvd.32044014812317_ocr:002GREEK	ν·ν--.-νὲέμή ³ ν· ‹ ν · ι ,π ’.“·ι“².¹.“ἰ.’’ἧ¹.¹“⁸.’.’ἴέ.ἶ;ξξζ.’.“ι¹ἷη’-’.Ἱίές’.τ’ἔῗίἳζηὶῗὶεἳώϊθ.δᾉέθέῦἳίΊέ-ἏἾρ I‘ .5ν ἰλ-..ο . λ’ πμ, ι ιι ’τὶ I -:. .’-‘.“.p‘-:.I‘IV;I.A.‘ κέλ, χᾊ.
65:hvd.32044014812317_ocr:003GREEK	.ξιιμ λίῖὦῗῖςὶξλίέὲῗ ,ηκπκππηκπηπηη 1N QUA PBODEUNT ΡΑΤΒΕξῌΙΨ-ῼΤΩΒΕΞ μεςξιμιξξῖριῃῑερυε ECCLESUE cnam LII ιν -κ
65:hvd.32044014812317_ocr:008GREEK	NA1N QUA PBODEUNT ΡΑΤΒΕξῌΙΨ-ῼΤΩΒΕΞ μεςξιμιξξῖριῃῑερυε ECCLESUE cnam LII ιν -κ ΤΟΥ ΕΝ ΑΓΙΟΙΣ ΠΑΤΡΟΣ ΗΜΩΝ ⁷ ΠΡΚΛΥ ΑΡΧΙΕΠΙΣΚΟΠΟΥ ΚΩΝΣΤΑΝΤΙΝΟΥΠΟΛΕΩΣ ΤΑ ΣΩΖΟΜΕΝΑ ΠΑΝΤΑ.
65:hvd.32044014812317_ocr:010GREEK	8.Ρ.ΝξΕΒοοιΙ ΑΒΟΗΙΕΡΙΞΟΟΡΙ⁷ CONSTAN ειη ουιιευυιι ουυνιιιτοιιωι ΙΝ οικθυιοσ εοειικτης κιιριιιδιητιοιις καίοι κυιτοιιιι. *ψ SBU ΡΕΤΙΤοΜΟΝΤΙιΟυΕΒ. . ιὲἐε ὁθυιἽ ,ι 1.
65:hvd.32044014812317_ocr:011GREEK	,., ⁴’.ρ ’.ειῚ ι -w‘ -μη ι ι’ μήθ’pati-'13?“ "MNT".
65:hvd.32044014812317_ocr:012GREEK	’ί ἶ . ἷίέὶίὲἳξιικὲξθέῗηξξ¹ἒὶέί ΕὲδδΡΨΡηέἐῖἓῗθξςῗῗὲ (ΞιπεξίξεξΡιτιιοι.. Gn. LXV. ronens.
65:hvd.32044014812317_ocr:013GREEK	citalur ὁ ὲν ἁγίοις Σευηριανὸς τεύχει νζν, n in cap. vn, p. 625, ὁ Σευηριανὸς ἔστιξεν οὕτως. Εἰς τὸν ὄφιν τὸν χαλκοῦν, In serpentem a'neu homilia incipit: ὐ τοῦ-Θεοῦ λόγος, ἀδελφοί, οι Εἰς τὰς σφραγῖδας τῶν βιϐλίων, De sigillis libro ncipit : Μυστήριον ξένον καὶ παράδοξον. In neutra tom. I, pag. 585, et εἰς τὰ ὲγκαίνια τοῦ σταυροῦ qu.] —— [Incipit : Ἀνοιγέσοω σήμερον πᾶν στόμα, I5 ΝΟΤΙΤΙΑ.
65:hvd.32044014812317_ocr:014GREEK	η νίς.Δ ιιςη291,(ξειι.“ηξεε..ΑῃεΙῇῳ, etc. in codd. August. τζετζ-Μ ΣΕΒΕΡΙΑΝΟΥ ΕΠΙΣΚΟΠΟΥ ΓΑΒΑΛΩΝ ί ΛΟΓΟΣ ΕΙΣ ΤΑ ΘΙ um de Deo, Α A'.
65:hvd.32044014812317_ocr:015GREEK	’Δνοιγέσοω σήμερον πᾶν στόμα πρὸς θεολογίαν, :lis aﬂ'ulsit καὶ ἀνυμνείτω πᾶς λόγος τὸν ἐξ οὐρανῶν ἐπιλάμlingua proψαντα Θεὸν Λόγον ⁸ πᾶν στόμα λαλείτω, πᾶσα γλῶσσα llat omnis φθεγγέσθω, πᾶσα ψυχὴ χορευέτω, πᾶσα ἡ γῆ ψαλlilios lucis λέτω. Σήμερον λόγοι φωτὸς ἐν ἡμέρᾳ φωτὸς τοὺς ; hymnum υἱοὺς τοῦ φωτὸς καταλάμπουσιν. Συμφωνείτω τοῖς tis ea qua: ἐπουρανίοις τὰ ἐπίγεια· ὑμνείτω μετὰ τῶν ὑπερitate, id est κοσμίων δυνάμεων τὰ ἐν τῷ κόσμῳ φαινόμενα. Ἀλη tre in comΘείας γὰρ ἐπιφανείσης καὶ βασιλέως ἐπουρανίου, cm. Christi πάντας δεῖ συνδραμεῖν είς κοινὴν τοῦ Aemo-:00 τῶν ἁπάντων ὁμολογίαν.
65:hvd.32044014812317_ocr:016GREEK	Χριστοῦ παρουσία, ἀληθινοῦ φωτὸς ἐπιδημία. Χριστοῦ παρουσία, τῆς οἰκουμένης πάσης εὐεργεσία. Χριστοῦ παρουσία, τοῦ παντὸς κόσμου ἐλευθερία. Χριστὸς ἀνυμνεῖται, καὶ κόσμος ἁγιάζεται. Χριστὸς κηρύττεται, καὶ ὴ οἰκουμένη φωτίζεται. Χριστὸς περιαγγέλλεται, καὶ πᾶσα ψυχὴ τὸν οὐράνιον πόθον ὲνδύεται.Ἐγγυᾶταί μου τὸν λόγον ἡ πεῖρα τῶν πραγμάτων. B'. Ὅρα γάρ μοι τὴν θεοπρεπῆ ταύτην τῆς Ἐκκλησεας κατάστασιν, ὅρα τοῦ οὐρανίου πόθου τὴν ἄσϐεστον λαμπάδα ο ὅρα τοῦ σώματος τὴν φύσιν συνακμάζονσαν τῇ τῶν ἀγγέλων λειτουργίᾳ.Ἀνθρωποι ἀπὸ γῆς ὄντες, καὶ γῆν οἰκοῦντες, καὶ ἀποστρεφόμενοι, τοῖς οὐρανίοις συναμιλλῶνται νόμοις. Ἠρνήσαντο τοῦ σώματος τὴν φύσιν, ἐδέξαντο τῶν ἀγγέλων τὴν λειτουργίαν· τοιαύτη γὰρ ἡ Ἐκκλησία τοῦ Θεοῦ. Πολιτεύεται μὲν ἐπὶ τῆς γῆς, τάξιν δὲ ἔχει οὐρανίων πραγμάτων (2). Τί ἔργον τῶν ὲν οὐρανοῖς ἀγγέλων; τὸ τῷ Θεῷ λειτουργεῖν. Τί ἔργον τῶν ἐπὶ γῆς ὁσίωνς τὸ τὸν Θεὸν ἀνυμνεῖν.⁷Ων τοίνυν ὁμότιμος ἡ λειτουργία, ὁμότιμος καὶ ή ἀξία. Διὰ τοῦτο ό μακάριος Δαειδ τὴν πνευματικὴν ἀνακρουόμενος λύραν, καὶ τὸν σωτήριον τῆς θεολογίας ἀνακηρύττων ὕμνον ἔλεγεν, ὡς ἀρτίως ὐπεψάλλομεν · Ὁ Θεὸς τῶν δυνάμεων, ἐετίστρεείόν ἡμᾶς, καὶ ἐπίφανον τὸ πρόσωπόν σου, καί σωθησόμεθα. Γ’, Οὐδέπω ἀπήντησεν ό βασιλεὺς τῆς δόξης, καὶ οἱ πρόδρομοι τῆς βασιλείας ἐκήρυττον λέγοντεςσ Ὁ ποιμαίνων τὸν Ἰσραὴλ, πρόσχες.. Εἰπὲ, ὦ Προφῆτα, τηλαυγῶς, ὂ λέγεις ⁸ σαφήνισον, ὃ κηρύττεις. ὀποῖον ποιμέναν λέγεις; πολλοὶ γὰρ ὲποίμαινον. Ηωῦῆς ποιμὴν ἦν, Ἀαρὼν ποιμὴν ἦν.Ἑποίμανες τὰρ, φησὶ, τὸν λαόν σου ἐν χειρὶ Μωῦσῆ καὶ Ἀαρών. Ποιμήν ἦν καὶ ό Δαϐίδ· Ἐξελέξατο γὰρ, φησιν, τὸν δοῦλον αὐτοῦ ποιμαίνειν Ἰακὼϐ τὸν δοῦλον αὐτοῦ, καί Ἰσραὴλ τὴν κληρονομίαν αὑτοῦ. Τί τοίνυν τῇ προσηγορίᾳ τοῦ ποιμένος κρύπτεις τὴν ἀξίαν τοῦ καταγγελλομένου; διόρισαι σαφῶς, ὃ λέγεις · εὐκρινεί καὶ ἀσυγχύτῳ χρῆσαι τῇ φωνῇ τοῦ κηρύγματος. Λέγεις· '0 ποιμαίνων τὸν Ἰσραὴλ, πρόσχες* ὁ ὁδηγῶν ὡσεὶ πρόϐατον τὸν Ἰωσήφ ο ό δὲ ποιμὴν οὐδέπω κηρύττει τοῦ μηνυομένου τὴν ἀξίαν διὰ τὴν πρὸς ἄλλους ποιμένας ὁμωνυμίαν. Δ’. Τί οὖν; οὐδέπω ἐνόησας τὴν ἀξίαν, φησίν; σαφηνίζω σοι τὴν ἀλήθειαν. Ὀ καθήμενος ἐπὶ τῶν χερουϐἳμ, ἐμφάνηθι, ἐξέγειρον τὴν δυναστείαν σου, καὶ ἐλθὲ εἰς τὸ σῶσαι ἡμᾶς. Ὁρᾷς πῶς ἃπασαν ἐγύμνωσεν τοῦ προφητευομένου τὴν ἀξίαν; Ὁρᾷς, πῶς τῷ βασιλικῷ καὶ ὐπερκοσμίῳ θρόνῳ τὸν βασιλέα τῆς δόξης ἀπήγγειλεν ἐποχεῖσθαι τὸ νῢν; Ὅθεν καὶ ό Σωτὴρ ὲπιόεόαιῶν τοῦ Προφήτου τὴν πρόρρησιν, βοᾷ διὰ τῆς εὐαγγελικῆς χάριτος· Ἐγώ είμι ὁ ποιμὴν ὀ καλός. Ἐπειδὴ γὰρ ὡς ἄνθρωποι, φησὶν, λογικοὶ τὸν Θεὺν οὐκ ἐπέγνωτε, κᾶν ὡς ἄλογα πρόϐατα τὸν ποιμένα γνωρίσατε. (2) Forte ταγμάτων. E'.
65:hvd.32044014812317_ocr:017GREEK	Βουλόμενοι, δὲ 6 Προφήτης καὶ τδν καρπδν ἑπιδεῖξαι τῆς τοῦ ποιμένος ἐπιδημίας· Ἐξέγειρον, φησὶν, τὴν δυναστείαν σου, καὶ ἐλθὲ εἰς τὸ σῶσαι ἡμᾶς. Ἥ γάρ τοῦ Σωτῆρος ἐπιφάνεια πηγὴ πάσης εύεργεσίας.Ἐπεφάνη τοίνυν 6 λυτρωτὴς πάσης τῆς οἰκουμένης, πάντα άναλαδὼν είς ἑαυτὸν διὰ τὴν αὑτῷ πρέπουσαν ἀγαθότητα. Ἐπειδὴ γὰρ εἶδεν πάντα τὰ ἐν ἀνθρώποις διαπεσόντα, καὶ τὴν ἱερωσύνην, ἦν δέ· δωκεν ὲν τῷ Ἰσραὴλ, καὶ τὴν προφητείαν, καὶ πάντα τά ἐξαίρετα, αὑτὸς ἀνακαινίζει δι’ ἑαυτοῦ τά ἑαυτοῦ δῶρα ν καὶ πῶς ; Ἀκουε. σι. Ἐγένετο προφήτης, ἐπειδὴ ὲνοθεύθη ἡ προφηο τεία παρὰ τῶν ἀναξίων, καθὼς γέγραπται’ Προφήτην ὑμῖν ἀναστήσει Κύριος ό Θεὸς ἡμῶν ἐκ τῶν ἀδελφῶν ὑμῶν, ὡς ὲμέ. Γίνεται ἀπόστολος κατὰ τδ εἰρημένον · Κατανοήσατε τὸν ἀρχιερέα καὶ ἀπό-ι στολον τῆς κλήσεως ἡμῶν Ἰησοῦν. Γίνεται καὶ ἱερεὺς, καθά φησιν 6 Ὑμνογράιρος · Σὺ εἷ ἱερεὺς εἰς τόν αἰῶνα κατὰ τὴν τάξιν Μελχισεδέκ. Γίνεται καὶ διάκονος, ὣς φησιν 6 γενναῖος Παῦλος’ Λέγω γὰρ Χριστὸν διάκονον γεγενῆσθαι περιτομῆς ὑπὲρ ἀληθείας Θεοῦ, εἰς τὸ πληρῶσαι τὰς ἐπαγγελίας τῶν πατέρων. Διᾷ πάσης οὖν ὁδεύει τάξεως. Γίνεται πάλιν καὶ ἀναγνώστης. Λαϐὼν γὰρ τόν Ἡσαΐαν ἀνεγίνωσκεν, ὡς δείκνυσι τὸ Εὑαγγέλιον, ἵνα καὶ τοῦ προφήτου τὰς φωνάς βεϐαιώσῃ, καὶ τῆς Ἐκκλησίας τοὺς βαθμοὺς τιμήσῃ. Ἐγένετο καὶ βασιλεὺς, Ὅ Βασιλεὺς τῶν ,ϐασιλευόντων’ ὥς φησιν ό Nat-~ θαναήλ ο Σὺ εῒό Υἱὸς τοῦ Θεοῡο σὺ εἷ o' ,βασιλεὺς τοῦ Ἰσραήλ Z'. Ἀλλ’ ἐρεῖ τις ἴσως τῶν περιεστώτων · Τί οὖν πρὸς ἐμὲ τὸν λαῖκὸν, εί προφητείαν καὶ ἀποστολὴν καὶ ἀρχιερωσύνην ὲνεδύσατο; τί πρὸς ἐμὲ τὸν ἐν λαῖκῇ τάξει κατηλεγμένον; Μάλιστα μὲν διὰ πάντας άνΘρώπους γέγονεν ἄνθρωπος 6 φιλάνθρωπος. Εἰ δὲ βούλει αὑτὸν καὶ λαῖκοῦ τάξιν ὑπερχόμενον [δεῖν διὰ σὲ, άνάκρινον παρὰ σὲ (3) αύτῷ καὶ σκόπησον τὰ ρηθησόμενα.⁰ομολογουμένως 6 βαπτίζων οὐκ ὲν χώρᾳ ἐστὶν τοῦ ἱερέως, 6 δὲ βαπτιζόμενος, οὐκ ἐν τάξει τοῦ λαῖκοῦ καθέστηκεν ; Ὅρα οὖν Ἰωάννην ὲν τάξει ἱερέως βαπτίζοντα, καὶτὸν Χριστὸν ὲν λαῖκῷ³τάγμαο τι βαπτιζόμενον. Σήμερον γάρ, ἀδελφοὶ, σήμερον τὴν διὰ τῶν ὑδάτων ὑπῆλθεν οἰκονομίαν, Οὐκ ὲκ τῶν ὑδάτων ἁγιαζόμενος, ἀλλὰ τοῖς ὑδασιν τὸν άγιασμδν παρεχόμενος. Ἰωάννης ἐπλήρου τὸ σχῆμα τὸ ἱερατικὸν, προσέρχεται 6 Λυτρωτὴς τῆς οἰκουμένης τῷ βαπτίζοντι, 6 φωτίζων ἐν Πνεύματι, ὁ βασιλεὺς τῷ προδρόμῳ, ὁ, Θεὸς τῷ προφήτῃ.’1ωάννης, ἀδελφοὶ, ούκ ἠγνόησεν τὴν ἀξίαν διὰ τὴν οἰκονομίαν ’ οὑκ ἔσφαλεν αὑτὸν τὸ σχῆμα τοῦ σώματος ο οὑκ ἠπάτησεν αὑτὸν ἡ φαινομένη σάρξ, ἀλλὰ περιέλαμπεν αὐτὸν ὴ κρυπταμένη δύναμις, ἦν καὶ τοῖς ἀγνοοῦσιν ἐκήρυττεν. Λύχνος γὰρ ἦν ἅγιος 6 Θαυμάσιος ⁸ λύχνος, περὶ οὗ . Ἢτοίμασα λύχνον τῷ Χριστῴ μου, διὰ τοῦ Προ⁹ φήτου προείρηται. Λύχνος δὲ 6 Ἰωάννης προανηγό· I7. “ Ι Τίηι.νι, 15. ρευται, οὐκ ἐπειδὴ τῷ Θεῷ Λόγῳ, τῷ φωτὶ τῆς ἀληθείας, χρεία ἦν τῆς ἀπὸ τοῦ λύχνου προσθήκης· ἣλιος γὰρ ἦν δικαιοσύνης ο ἀλλ’ ἐπειδὴ τὸν ὲν σαρκὶ κρυπτόμενον Κύριον ἐγνώριζεν, ὡς ὲν νυκτὶ, τῇ Ἰουδαῑκῇ καταστάσει, τὸν λύχνον ἀπαστράπτων τοῦ θείου Λόγου.
