term,εἰς_ναῦς_αὐτός_ἀθηναῖοι_πόλις_οὗτος_ὡς,αὐτός_εἰς_ὡς_τις_γίγνομαι_βούλομαι_σφεῖς,αὐτός_εἰς_ἄλλος_πολύς_ἔχω_οὗτος_ὅς,αὐτός_εἰς_πολύς_γίγνομαι_οὗτος_οὐδείς_τις,εἰς_αὐτός_πρός_τεῖχος_τις_πολύς_πόλις,εἰς_ναῦς_αὐτός_πλέω_οὗτος_ἄλλος_ὡς,εἰς_αὐτός_τις_ὅς_πρός_ἔχω_οὗτος,αὐτός_εἰς_σύμμαχος_οὗτος_σπονδή_ποιέω_σφεῖς,εἰς_αὐτός_οὗτος_γίγνομαι_θέρος_τελευτάω_σύμμαχος,αὐτός_εἰς_ὁπλίτης_ἀθηναίων_ἄλλος_ἱππεύς_σύμμαχος,εἰς_αὐτός_οὗτος_πολύς_ἄλλος_γίγνομαι_πόλις,αὐτός_εἰς_ὡς_ἄλλος_λέγω_τις_δῆμος
εἰς,0.0790515599975254,0.0259125793363183,0.0268751636822746,0.0317527674150237,0.0405371603664447,0.0604988931483181,0.0271593722130075,0.0330425809862198,0.056277532071291,0.0295562579119893,0.0594089875035059,0.0425454503784428
αὐτός,0.0232023425739444,0.0470802202789387,0.032542967818599,0.0325159817072798,0.0385271639844382,0.0373065463773309,0.0268120834271013,0.0335508892853694,0.0424290650746059,0.0456946202664297,0.023960703044657,0.0575857584039512
οὗτος,0.0125480303269843,0.00830110207205804,0.0139760232340881,0.014962052985389,0.00960554937667779,0.0143596212652959,0.0106978837610542,0.0203348735074798,0.018469019000976,0.0138370738005215,0.021039141138708,0.0098864958087675
τις,0.00876746791677264,0.0186309108520568,0.0105557966000993,0.0123671243917182,0.0138488750720249,0.00356106827139709,0.0219500404244147,0.0108040928984248,0.000224213275184426,0.00335761772620954,0.011300601452211,0.0121783522697973
ἄλλος,0.00429953052288615,0.00626900854156647,0.0163213214973948,0.0119091958163645,0.00994054877367887,0.0122735371642018,0.00979493291769811,0.00902501385140115,0.00637908749593339,0.0201247474451086,0.0148064757393499,0.016762065191857
πολύς,0.0111732803596346,0.00423691501107491,0.0162236007364237,0.0274787673783894,0.0120622116213524,0.00552444154301505,0.00923927086024822,0.00673762650522795,4.3963387291064e-06,0.00901652400633798,0.0202600579637882,0.0114621471257255
ὡς,0.0118606553433094,0.022525756785499,0.006744686922226,0.0116039100994621,0.00893555058267562,0.0120281155052496,0.00833632001689213,0.00737301187916495,0.0112150600979504,0.00733981103444807,0.00292545732182368,0.0232079114885035
ὅς,0.00756456169534166,3.38682255081927e-06,0.0129010948634059,0.00824576721353515,0.00994054877367887,0.0100647422336316,0.0197273921946151,0.00826255140267675,0.00835743992403127,0.00545350894107192,0.0128587678020505,0.0103162188952106
ναῦς,0.0350595610423354,0.00525296177632069,0.00606064159542823,0.0085510529304376,0.00714888713200316,0.0597626281714614,1.38915514362475e-06,2.541541495748e-06,4.3963387291064e-06,0.00733981103444807,3.89541587459877e-06,2.86482057628731e-06
πρός,0.00601796798207326,0.00830110207205804,0.00879682290261931,0.0106880529487547,0.0195438648210433,0.00552444154301505,0.012087038904679,0.0163954841890704,0.00418091813138019,4.19178242972477e-06,0.00643133160896257,0.0057325059731509
